rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
484,Oglethorpe University,"Atlanta, GA",48.5,16.8,10.7,14.6,6.4,7.38,44000,8.5,Private
484,Massachusetts College of Art and Design,BostoR MA,48.5,14.4,16.4,13.9,3.8,7.8,34000,4.5,Public
484,Walla Walla University,"College Place, WA",48.5,17.6,12,15.4,3.5,8.49,46000,4.3,Private
484,High Point University,High Point NC,48.5,17,13.4,15.9,2.1,7.93,37000,5.6,Private
484,Chestnut Hill College,"Philadelphia, PA",48.5,13.5,14.4,14.8,5.2,5.67,41000,7.9,Private
489,Ohio University,"Athens, OH",48.4,15.8,11.1,17.3,4.1,8.13,40000,8.8,Public
489,Birmingham-Southern College,"Birmingham, AL",48.4,15.3,15.3,15.8,2,8.06,43000,3,Private
489,Mount St Mary's University,"Ernrnitsburg, MD",48.4,17.9,11.7,15.7,3.2,8.67,50000,2.5,Private
489,Belmont University,"Nashville, TN",48.4,16.4,12.8,16.9,2.3,8.59,40000,2.1,Private
489,"California State Polytechnic University, Pomona","Pomona, CA",48.4,20.1,4.3,15.5,8.5,7.77,51000,2.9,Public
489,Shenandoah University,"Winchester, VA",48.4,9.9,18.4,15.6,4.5,8.15,40000,3.4,Private
495,Ouachita Baptist University,"Arkadelphia, AR",48.3,15.6,14.1,16.8,1.8,8.97,37000,7.8,Private
495,St Bonaventure University,"Saint Bonaventure, NY",48.3,14.9,15.7,15,2.6,7.16,45000,4.5,Private
495,St Marys University,"San Antonio, TX",48.3,10.8,14.7,16.1,6.7,7.93,46000,6,Private
