loc_string,Address,Latitude,Longitude
"Franklin & Marshall College, Lancaster, PA, USA","415 Harrisburg Ave, Lancaster, PA 17603",40.0475,-76.3179
"University of Washington-Seattle, Seattle, WA, USA","Seattle, WA 98195, USA",47.6553351,-122.3035199
"Occidental College, Los Angeles, CA, USA","1600 Campus Rd, Los Angeles, CA 90041, USA",34.1273615,-118.2105035
"Union College, Schenectady, NY, USA","807 Union St, Schenectady, NY 12308, USA",42.817017,-73.9298053
"Scripps College, Claremont, CA, USA","1030 N Columbia Ave, Claremont, CA 91711, USA",34.1039348,-117.7102128
"Texas A&M University-College Station, College Station, TX, USA","Texas Ave, College Station, TX 77840, USA",30.624139,-96.3304465
"Trinity College, Hartford, CT, USA","300 Summit St, Hartford, CT 06106, USA",41.7479332,-72.6903345
"University of Denver, Denver CO, USA","2199 S University Blvd, Denver, CO 80208, USA",39.6766174,-104.9618965
"Kenyon College, Gambier OH, USA","103 College Rd, Gambier, OH 43022, USA",40.3718965,-82.3983079
"Bentley University, Waltham, MA, USA","175 Forest St, Waltham, MA 02452, USA",42.3856989,-71.22168
"University of California., Santa Barbara, Santa Barbara, CA, USA","Santa Barbara, CA 93106, USA",34.4139629,-119.848947
"William & Mary, Williamsburg, VA, USA","200 Stadium Dr, Williamsburg, VA 23185",37.2717,-76.7134
"Spelman College, Atlanta, GA, USA","350 Spelman Ln, Atlanta, GA 30314, USA",33.7463597,-84.4122934
"Connecticut College, New London, CT, USA","270 Mohegan Avenue, New London, CT 06320, USA",41.3786877,-72.1045869
"Rhode Island Schaal of Design, Providence, RI, USA","2 College St, Providence, RI 02903, USA",41.8259947,-71.4074596
"Howard University, Washington, DC, USA","2400 Sixth St NW, Washington, DC 20059, USA",38.9226843,-77.0194377
"Saint Louis University, Saint Louis, MO, USA","1 N Grand Blvd, St. Louis, MO 63103, USA",38.6354598,-90.2338232
"University crEConnecticut, Storrs, CT, USA","Storrs, CT 06269, USA",41.8077414,-72.2539805
"The College of Wooster, Wooster OH, USA","1189 Beall Ave, Wooster, OH 44691, USA",40.8110501,-81.9336187
"Syracuse University, Syracuse, NY, USA","Syracuse, NY, USA",43.0391534,-76.1351158
"DePauw University, Greencastle, IN, USA","Administration Building, 313 S Locust St, Greencastle, IN 46135, USA",39.6393943,-86.8628946
"Gettysburg College, Gettysburg, PA, USA","300 N Washington St, Gettysburg, PA 17325, USA",39.8362073,-77.2375078
"University of Illinois at Chicago, Chicago, IL, USA","1200 W Harrison St, Chicago, IL 60607, USA",41.8704497,-87.6674854
"Rose-Hulman Institute of Technology, Terre Haute, IN, USA","5500 Wabash Ave, Terre Haute, IN 47803, USA",39.4830622,-87.3234824
"Dickinson College, Carlisle, PA, USA","28 N College St, Carlisle, PA 17013, USA",40.2027214,-77.197232
"Brigham Young University-Provo, Provo, UT, USA","Provo, UT 84602, USA",40.2518435,-111.6493156
"Pitzer College, Claremont, CA, USA","1050 N Mills Ave, Claremont, CA 91711, USA",34.1046624,-117.7047193
"University of Minnesota Twin Cities, Minneapolis, MN, USA","Minneapolis, MN 55455, USA",44.97399,-93.2277285
"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Blacksburg, VA 24061, USA",37.2283843,-80.4234167
"Babson College, Wellesley, MA, USA","231 Forest St, Babson Park, MA 02457, USA",42.2993708,-71.2659951
"Illinois Institute of Technology, Chicago, IL, USA","3300 S Federal St, Chicago, IL 60616, USA",41.8348731,-87.6270059
"Pennsylvania State University, University Park, PA, USA","Old Main, State College, PA 16801, USA",40.7982133,-77.8599084
"Seattle University, Seattle, WA, USA","901 12th Ave, Seattle, WA 98122, USA",47.6092282,-122.3177136
"Loyola Marymount University, Los Angeles, CA, USA","1 Loyola Marymount University Dr, Los Angeles, CA 90045, USA",33.9698183,-118.4184969
"Allegheny College, Meadville, PA, USA","520 N Main St, Meadville, PA 16335, USA",41.649349,-80.1449494
"Furman University, Greenville, SC, USA","3300 Poinsett Hwy, Greenville, SC 29613, USA",34.9237,-82.4382693
"Stevens Institute of Technology, Hoboken, NJ, USA","1 Castle Point Terrace, Hoboken, NJ 07030, USA",40.7448376,-74.025683
"Reed College, Portland, OR, USA","3203 SE Woodstock Blvd, Portland, OR 97202, USA",45.4809782,-122.6303724
"Rochester Institute of Technology, Rochester, NY, USA","1 Lomb Memorial Dr, Rochester, NY 14623, USA",43.0861017,-77.6705143
"Creighton University, Omaha, NE, USA","2500 California Plaza, Omaha, NE 68178, USA",41.2653105,-95.9471919
"Art Center College of Design, Pasadena, CA, USA","1700 Lida St #2319, Pasadena, CA 91103, USA",34.1688713,-118.1851569
"Willamette University, Salem, OR, USA","900 State St, Salem, OR 97301, USA",44.9359709,-123.0318598
"North Carolina State University at Raleigh, Raleigh, NC, USA","Raleigh, NC 27695, USA",35.7846633,-78.6820946
"Indiana University Bloomington, Bloomington, IN, USA","107 S Indiana Ave, Bloomington, IN 47405, USA",39.1761275,-86.5130583
"University of California, Irvine, Irvine, CA, USA","Irvine, CA 92697, USA",33.6404952,-117.8442962
"Hobart and William Smith Colleges, Geneva, NY, USA","300 Pulteney St, Geneva, NY 14456, USA",42.8591531,-76.9844868
"Illinois Wesleyan University, Bloomington, IL, USA","1312 Park St, Bloomington, IL 61701, USA",40.4908892,-88.9906541
"Arizona State University, Tempe, AZ, USA","Tempe, AZ 85281, USA",33.4242399,-111.9280527
"Ohio Northern University, Ada, OH, USA","525 S Main St, Ada, OH 45810, USA",40.7663058,-83.8324991
"Skidmore College, Saratoga Springs, NY, USA","815 N Broadway, Saratoga Springs, NY 12866, USA",43.0972759,-73.7841811
"Elon University, Elon, NC, USA","100 Campus Drive, Elon, NC 27244, USA",36.1048749,-79.5038882
"University of Iowa, Iowa City, IA, USA","Iowa City, IA 52242, USA",41.6626963,-91.5548998
"Rutgers University-New Brunswick, New Brunswick NJ, USA","New Brunswick, NJ, USA",40.5008186,-74.4473991
"Stony Brook University, Stony Brook, NY, USA","100 Nicolls Rd, Stony Brook, NY 11794, USA",40.9123761,-73.1233889
"University of Delaware, Newark, DE, USA","Newark, DE 19716, USA",39.6779504,-75.7506114
"Centre College, Danville, KY, USA","600 W Walnut St, Danville, KY 40422, USA",37.6457214,-84.782037
"Gustavus Adolphus College, Saint Peter, MN, USA","800 College Ave, St Peter, MN 56082, USA",44.3221619,-93.9687771
"Clarkson University, Potsdam, NY, USA","8 Clarkson Ave, Potsdam, NY 13699, USA",44.6637611,-74.998544
"Kalamazoo College, Kalamazoo, MI, USA","1200 Academy St, Kalamazoo, MI 49006, USA",42.290035,-85.598145
"St Olaf College, Northfield, MN, USA","1520 St Olaf Ave, Northfield, MN 55057, USA",44.4617681,-93.1828167
"University of Massachusetts Amherst, Amherst, MA, USA","Amherst, MA 01003, USA",42.3911569,-72.5267121
"Michigan Technological University, Houghton, MI, USA","1400 Townsend Dr, Houghton, MI 49931, USA",47.1149065,-88.5453073
"Pepperdine University, Malibu. CA, USA","24255 Pacific Coast Hwy, Malibu, CA 90263, USA",34.0414045,-118.7095814
"Stonehill College, Eastc [-_, MA, USA","320 Washington St, North Easton, MA 02357, USA",42.0590153,-71.0806276
"Marquette University, Milwaukee, WI, USA","1250 W Wisconsin Ave, Milwaukee, WI 53233, USA",43.0382216,-87.9297546
"St Lawrence University, Canton, NY, USA","23 Romoda Dr, Canton, NY 13617, USA",44.5892119,-75.1608814
"Temple University, Philadelphia, PA, USA","1801 N Broad St, Philadelphia, PA 19122, USA",39.9811935,-75.1553512
"Rhodes College, Memphis, TN, USA","2000 North Pkwy, Memphis, TN 38112, USA",35.1550839,-89.9892872
"University of Puget Sound, Tacoma, WA, USA","1500 N Warner St, Tacoma, WA 98416, USA",47.261764,-122.481455
"Bradley University, Peoria, IL, USA","1501 W Bradley Ave, Peoria, IL 61625, USA",40.6977743,-89.6153484
"University of San Diego, San Diego, CA, USA","5998 Alcala Park, San Diego, CA 92110, USA",32.771917,-117.1882064
"Linfield College - McMinnville campus, McMinnville, OR, USA","900 SE Baker St, McMinnville, OR 97128, USA",45.200606,-123.199224
"Whitman College, Walla Walla, WA, USA","345 Boyer Ave, Walla Walla, WA 99362, USA",46.0705799,-118.3306351
"Santa Clara University, Santa Clara, CA, USA","500 El Camino Real, Santa Clara, CA 95053, USA",37.3496418,-121.9389875
"Simmons College, Boston, MA, USA","94 Pilgrim Rd, Boston, MA 02215, USA",42.3411751,-71.1062766
"Berea College, Berea, KY, USA","209 Chestnut St, Berea, KY 40403, USA",37.5695232,-84.2932355
"University of Tulsa, Tulsa, OK, USA","800 S Tucker Dr, Tulsa, OK 74104, USA",36.1519879,-95.946
"Susquehanna University, Selinsgrove, PA, USA","514 University Ave, Selinsgrove, PA 17870, USA",40.7973267,-76.8744803
"Washington & Jefferson College, Washington, PA, USA","60 S Lincoln St, Washington, PA 15301",40.1704,-80.2387
"University of Colorado Doulder, Boulder, CO, USA","Boulder, CO 80309, USA",40.007581,-105.2659417
"Ohio Wesleyan University, Delaware, OH, USA","40 Rowland Avenue, Delaware, OH 43015, USA",40.2966234,-83.0700693
"Butler University, Indianapolis, IN, USA","4600 Sunset Ave, Indianapolis, IN 46208, USA",39.8411235,-86.1711908
"Chapman University, Orange, CA, USA","1 University Dr, Orange, CA 92866, USA",33.7933476,-117.8513503
"Sewanee-The University of the South, Sewanee, TN, USA","735 University Ave, Sewanee, TN 37383, USA",35.20518,-85.9176606
"Lawrence University, Appleton, WI, USA","711 E Boldt Way, Appleton, WI 54911, USA",44.2615759,-88.3980999
"Texas Christian University, Fort Worth, TX, USA","2800 S University Dr, Fort Worth, TX 76129, USA",32.70953,-97.362795
"Knox College, Galesburg, IL, USA","2 E South St, Galesburg, IL 61401, USA",40.9418892,-90.3718673
"Wo-Fford College, Spartanburg, SC, USA","429 N Church St, Spartanburg, SC 29303, USA",34.9580657,-81.9344902
"University of Arizona, Tucson, AZ, USA","Tucson, AZ 85721, USA",32.2318851,-110.9501094
"Loyola University Maryland, Baltimore, MD, USA","Loyola University Maryland : Alumni Memorial Chapel, 4501 N Charles St, Baltimore, MD 21210, USA",39.3476737,-76.6172375
"Drake University, Des Moines, IA, USA","2507 University Ave, Des Moines, IA 50311, USA",41.6029128,-93.6552984
"Missouri University of Science and Technology, Rolla, MO, USA","1870 Miner Cir, Rolla, MO 65409, USA",37.9537196,-91.7751496
"Bryant University, Smithfield, RI, USA","1150 Douglas Pike, Smithfield, RI 02917, USA",41.921192,-71.537882
"Clemson University, Clemson, SC, USA","Clemson, SC 29634, USA",34.6760942,-82.8364148
"University of Detroit Mercy, Detroit, MI, USA","4001 W McNichols Rd, Detroit, MI 48221, USA",42.414062,-83.1379029
"Baylor University, Waco, TX, USA","1301 S University Parks Dr, Waco, TX 76706, USA",31.549841,-97.1143146
"Ursinus College, Collegeville, PA, USA","601 E Main St, Collegeville, PA 19426, USA",40.1915099,-75.4558588
"Colorado School of Mines, Golden, CO, USA","1500 Illinois St, Golden, CO 80401, USA",39.7510136,-105.2225705
"Hampton University, Hampton, VA, USA","100 E Queen St, Hampton, VA 23668, USA",37.0228392,-76.3343603
"Loyola University Chicago, Chicago, IL, USA","1032 W Sheridan Rd, Chicago, IL 60660, USA",41.998997,-87.6581921
"Virginia Military Institute, Lexington, VA, USA","319 Letcher Ave, Lexington, VA 24450, USA",37.788981,-79.43946
"Embry-Riddle Aeronautical University, Daytona Beach, Daytona Reach, FL, USA","600 S Clyde Morris Blvd, Daytona Beach, FL 32114, USA",29.191617,-81.0500188
"SUNY Binghamton University, Vestal, NY, USA","4400 Vestal Parkway East, Binghamton, NY 13902, USA",42.0893553,-75.9697049
"Rutgers University-Newark, Newark, NJ, USA","195 University Ave, Newark, NJ 07102, USA",40.741187,-74.1753095
"Saint Mary's College, Notre Dame, IN, USA","149 Le Mans Hall, Notre Dame, IN 46556, United States",41.707304,-86.256745
"American University, Washington, DC, USA","4400 Massachusetts Ave NW, Washington, DC 20016, USA",38.9399652,-77.0880213
"Catholic University of America, Washington, DC, USA","620 Michigan Ave NE, Washington, DC 20064, USA",38.9368811,-76.998692
"Muhlenberg College, Allentown, PA, USA","2400 W Chew St, Allentown, PA 18104, USA",40.5959497,-75.5101987
"Quinnipiac University, Hamden, CT, USA","275 Mt Carmel Ave, Hamden, CT 06518, USA",41.4191747,-72.8926883
"Saint Mary's College of Cali-Fomia, Moraga, CA, USA","1928 St Marys Rd, Moraga, CA 94575, USA",37.8413472,-122.1101353
"Beloit College, Beloit WI, USA","700 College St, Beloit, WI 53511, USA",42.5030333,-89.0309048
"Drew University, Madison, NJ, USA","36 Madison Ave, Madison, NJ 07940, USA",40.760567,-74.4269765
"Florida Institute of Technology, Melbourne, FL, USA","150 W University Blvd, Melbourne, FL 32901, USA",28.0646888,-80.623022
"Fairfield University, Fairfield, CT, USA","1073 N Benson Rd, Fairfield, CT 06824, USA",41.1587639,-73.2573625
"University of Scranton, Scranton, PA, USA","800 Linden St, Scranton, PA 18510, USA",41.4055412,-75.6569784
"Lake Forest College, Lake Forest, IL, USA","555 N Sheridan Rd, Lake Forest, IL 60045, USA",42.249058,-87.828913
"Cornell College, Mount Vernon, IA, USA","600 1st St, Mt Vernon, IA 52314, USA",41.9269546,-91.4253502
"Saint John's University, Collegeville, MN, USA","2850 Abbey Plaza, Collegeville, MN 56321, USA",45.5813035,-94.3942882
"University of the Sciences, Philadelphia, PA, USA","600 S 43rd St, Philadelphia, PA 19104, USA",39.9468299,-75.2070979
"Xavier University, Cincinnati, OH, USA","3800 Victory Pkwy, Cincinnati, OH 45207, USA",39.1493644,-84.4745119
"Otis College of Art and Design, Los Angeles, CA, USA","9045 Lincoln Blvd, Los Angeles, CA 90045, USA",33.9563229,-118.4174056
"Mercer University, Macon, GA, USA","1501 Mercer University Dr, Macon, GA 31207, USA",32.8287784,-83.6496381
"University of San Francisco, San Francisco, CA, USA","2130 Fulton St, San Francisco, CA 94117, USA",37.7766466,-122.450683
"University of Dayton, Dayton, OH, USA","300 College Park, Dayton, OH 45469, USA",39.739795,-84.1816922
"St Mary's College of Maryland, St Mary's City, MD, USA","47645 College Dr, St Marys City, MD 20686, USA",38.1909255,-76.4290313
"Samford University, Birmingham, AL, USA","800 Lakeshore Dr, Homewood, AL 35209, USA",33.4647494,-86.793631
